stock_code,Year,CBR1,CBR2,CBR,Standard_Deviation,SCBR
000004,2010,0.1026,0,0.1026,0.0366,2.8039
000004,2011,0.0871,0,0.0871,0.0366,2.379
000004,2012,0.1001,0,0.1001,0.0366,2.7364
000004,2013,0.1311,0,0.1311,0.0366,3.5823
000004,2014,0.1387,0,0.1387,0.0366,3.7898
000004,2015,0.1501,0,0.1501,0.0366,4.1009
000004,2016,0.158,0,0.158,0.0366,4.317
000004,2017,0.1878,0,0.1878,0.0366,5.1313
000004,2018,0.1927,0,0.1927,0.0366,5.2644
000004,2019,0.1414,0,0.1414,0.0366,3.8635
000004,2020,0.1784,0,0.1784,0.0366,4.8744
000004,2021,0.1622,0,0.1622,0.0366,4.4319
000004,2022,0.1904,0,0.1904,0.0366,5.2019
000004,2023,0.1978,0,0.1978,0.0366,5.4057
000035,2010,0.0469,0,0.0469,0.2014,0.2331
000035,2011,0.0808,0,0.0808,0.2014,0.4013
000035,2012,0.0765,0,0.0765,0.2014,0.3799
000035,2013,0.1063,0,0.1063,0.2014,0.5278
000035,2014,0.1486,0.0033,0.1519,0.2014,0.7541
000035,2015,0.1827,0.0027,0.1854,0.2014,0.9203
000035,2016,0.2179,0.0035,0.2214,0.2014,1.0992
000035,2017,0.5013,0.0052,0.5065,0.2014,2.5147
000035,2018,0.4323,0.0061,0.4384,0.2014,2.1764
000035,2019,0.4046,0.0081,0.4127,0.2014,2.0489
000035,2020,0.4632,0.0086,0.4718,0.2014,2.3422
000035,2021,0.4683,0.0097,0.4779,0.2014,2.3729
000035,2022,0.6357,0.0076,0.6433,0.2014,3.1937
000035,2023,0.4745,0.0095,0.4841,0.2014,2.4034
000039,2010,0.1419,0.002,0.144,0.2399,0.5999
000039,2011,0.1284,0.0026,0.131,0.2399,0.5459
000039,2012,0.1298,0.0023,0.1321,0.2399,0.5507
000039,2013,0.1305,0.0017,0.1322,0.2399,0.551
000039,2014,0.1196,0.0025,0.1221,0.2399,0.5089
000039,2015,0.1218,0.0024,0.1241,0.2399,0.5174
000039,2016,0.1259,0.0025,0.1285,0.2399,0.5354
000039,2017,0.1489,0.0065,0.1554,0.2399,0.6477
000039,2018,0.2203,0.0082,0.2285,0.2399,0.9522
000039,2019,0.4836,0.0051,0.4887,0.2399,2.0367
000039,2020,0.6454,0.0068,0.6522,0.2399,2.7182
000039,2021,0.6673,0.0063,0.6736,0.2399,2.8075
000039,2022,0.7053,0.0053,0.7106,0.2399,2.9616
000039,2023,0.5281,0.0066,0.5347,0.2399,2.2285
000059,2010,0.0896,0,0.0896,0.1074,0.8339
000059,2011,0.1076,0,0.1076,0.1074,1.0014
000059,2012,0.1121,0.0009,0.1129,0.1074,1.0511
000059,2013,0.1545,0,0.1545,0.1074,1.4384
000059,2014,0.1591,0,0.1591,0.1074,1.4813
000059,2015,0.1821,0,0.1821,0.1074,1.6953
000059,2016,0.2216,0,0.2216,0.1074,2.0627
000059,2017,0.2502,0,0.2502,0.1074,2.329
000059,2018,0.2557,0,0.2557,0.1074,2.3807
000059,2019,0.2634,0,0.2634,0.1074,2.4522
000059,2020,0.2675,0,0.2675,0.1074,2.4907
000059,2021,0.2825,0.0027,0.2851,0.1074,2.6545
000059,2022,0.4438,0.0139,0.4578,0.1074,4.2616
000059,2023,0.3927,0.0104,0.4032,0.1074,3.7532
000096,2010,0.1526,0,0.1526,0.0291,5.2441
000096,2011,0.1601,0,0.1601,0.0291,5.501
000096,2012,0.1436,0,0.1436,0.0291,4.9341
000096,2013,0.1143,0,0.1143,0.0291,3.9276
000096,2014,0.1568,0,0.1568,0.0291,5.3867
000096,2015,0.1831,0,0.1831,0.0291,6.2901
000096,2016,0.1987,0,0.1987,0.0291,6.8258
000096,2017,0.1892,0,0.1892,0.0291,6.5004
000096,2018,0.1732,0,0.1732,0.0291,5.9529
000096,2019,0.1521,0,0.1521,0.0291,5.2273
000096,2020,0.1589,0,0.1589,0.0291,5.4602
000096,2021,0.1386,0,0.1386,0.0291,4.764
000096,2022,0.2283,0,0.2283,0.0291,7.8445
000096,2023,0.1933,0,0.1933,0.0291,6.6411
000153,2010,0.0962,0,0.0962,0.0559,1.7223
000153,2011,0.1431,0,0.1431,0.0559,2.5629
000153,2012,0.1269,0,0.1269,0.0559,2.2725
000153,2013,0.112,0,0.112,0.0559,2.0052
000153,2014,0.1335,0,0.1335,0.0559,2.3898
000153,2015,0.1402,0,0.1402,0.0559,2.5097
000153,2016,0.1324,0,0.1324,0.0559,2.3703
000153,2017,0.1977,0,0.1977,0.0559,3.5394
000153,2018,0.2134,0,0.2134,0.0559,3.8205
000153,2019,0.1932,0,0.1932,0.0559,3.4591
000153,2020,0.1977,0,0.1977,0.0559,3.5389
000153,2021,0.2235,0,0.2235,0.0559,4.0021
000153,2022,0.2591,0,0.2591,0.0559,4.6397
000153,2023,0.2752,0,0.2752,0.0559,4.9264
000159,2010,0.1717,0,0.1717,0.0152,11.303
000159,2011,0.1955,0,0.1955,0.0152,12.8704
000159,2012,0.1663,0,0.1663,0.0152,10.9472
000159,2013,0.1785,0,0.1785,0.0152,11.752
000159,2014,0.1646,0,0.1646,0.0152,10.8356
000159,2015,0.179,0,0.179,0.0152,11.7876
000159,2016,0.1996,0,0.1996,0.0152,13.1428
000159,2017,0.1818,0,0.1818,0.0152,11.9725
000159,2018,0.2052,0,0.2052,0.0152,13.5099
000159,2019,0.2031,0,0.2031,0.0152,13.3719
000159,2020,0.1621,0,0.1621,0.0152,10.6741
000159,2021,0.1816,0,0.1816,0.0152,11.9608
000159,2022,0.2023,0,0.2023,0.0152,13.3224
000159,2023,0.1935,0,0.1935,0.0152,12.743
000400,2010,0.1489,0.0017,0.1507,0.0458,3.2897
