Year,Month,Day,biome,chemi,gas
2010,1,4,0.0016 ,0.0018 ,0.0061 
2010,1,5,0.0112 ,0.0112 ,0.0145 
2010,1,6,0.0115 ,-0.0096 ,0.0994 
2010,1,7,0.0119 ,-0.0437 ,0.1842 
2010,1,8,0.0122 ,0.2243 ,0.2691 
2010,1,11,0.0125 ,-0.0690 ,0.1000 
2010,1,12,0.0129 ,1.4427 ,0.2670 
2010,1,13,0.0132 ,-0.0804 ,0.4340 
2010,1,14,0.0135 ,-0.0430 ,0.0330 
2010,1,19,0.0139 ,-0.0056 ,0.0049 
2010,1,20,-0.0439 ,-0.0447 ,-0.0353 
2010,1,21,0.0026 ,0.0083 ,0.0140 
2010,1,22,-0.0235 ,-0.0240 ,-0.0204 
2010,1,25,-0.0110 ,-0.0156 ,-0.0205 
2010,1,26,-0.0257 ,-0.0286 ,-0.0338 
2010,1,27,-0.0072 ,-0.0057 ,-0.0094 
2010,1,28,0.0157 ,0.0107 ,0.0045 
2010,1,29,0.0130 ,0.0105 ,0.0106 
2010,2,1,-0.0059 ,-0.0075 ,-0.0206 
2010,2,2,-0.0046 ,-0.0145 ,-0.0085 
2010,2,3,-0.0051 ,0.0086 ,0.0223 
2010,2,4,0.0102 ,0.0086 ,0.0026 
2010,2,5,-0.0255 ,-0.0183 ,-0.0137 
2010,2,8,-0.0033 ,0.0025 ,0.0036 
2010,2,9,-0.0053 ,-0.0030 ,0.0019 
2010,2,10,0.0234 ,0.0161 ,0.0202 
2010,2,11,-0.0030 ,0.0046 ,-0.0029 
2010,2,12,0.0107 ,0.0137 ,0.0176 
2010,2,22,0.0014 ,-0.0047 ,-0.0024 
2010,2,23,0.0179 ,0.0080 ,0.0085 
2010,2,24,0.0255 ,0.0298 ,0.0375 
2010,2,25,0.0184 ,0.0125 ,0.0132 
2010,2,26,0.0069 ,0.0058 ,0.0008 
2010,3,1,0.0046 ,0.0109 ,0.0112 
2010,3,2,0.0012 ,0.0020 ,0.0095 
2010,3,3,0.0057 ,0.0088 ,0.0130 
2010,3,4,-0.0289 ,-0.0349 ,-0.0397 
2010,3,5,0.0142 ,0.0134 ,0.0035 
2010,3,8,0.0198 ,0.0145 ,0.0224 
2010,3,9,0.0015 ,0.0029 ,0.0039 
2010,3,10,-0.0231 ,-0.0139 ,-0.0099 
2010,3,11,0.0005 ,-0.0020 ,-0.0028 
2010,3,12,-0.0125 ,-0.0133 ,-0.0139 
2010,3,15,-0.0063 ,-0.0057 ,-0.0009 
2010,3,16,0.0068 ,0.0109 ,0.0094 
2010,3,17,0.0196 ,0.0252 ,0.0261 
2010,3,18,0.0004 ,0.0002 ,0.0047 
2010,3,19,-0.0022 ,0.0059 ,0.0090 
2010,3,22,0.0014 ,0.0074 ,0.0124 
2010,3,23,0.0000 ,-0.0027 ,-0.0029 
2010,3,24,0.0085 ,0.0062 ,0.0191 
2010,3,25,-0.0037 ,-0.0043 ,-0.0049 
2010,3,26,0.0139 ,0.0070 ,0.0035 
2010,3,29,0.0061 ,0.0055 ,0.0077 
2010,3,30,0.0067 ,0.0079 ,0.0132 
2010,3,31,0.0072 ,0.0077 ,0.0121 
2010,4,1,0.0102 ,0.0143 ,0.0292 
2010,4,2,-0.0038 ,0.0010 ,0.0015 
2010,4,6,0.0096 ,0.0135 ,0.0117 
2010,4,7,0.0182 ,0.0071 ,0.0151 
2010,4,8,0.0148 ,0.0023 ,-0.0021 
2010,4,9,0.0188 ,0.0179 ,0.0125 
2010,4,12,0.0242 ,0.0232 ,0.0185 
2010,4,13,-0.0142 ,-0.0228 ,-0.0339 
2010,4,14,0.0200 ,0.0110 ,0.0020 
2010,4,15,-0.0206 ,-0.0107 ,-0.0254 
2010,4,16,-0.0019 ,0.0021 ,0.0070 
2010,4,19,-0.0277 ,-0.0304 ,-0.0284 
2010,4,20,0.0257 ,0.0242 ,0.0133 
2010,4,21,0.0284 ,0.0360 ,0.0410 
2010,4,22,0.0105 ,0.0093 ,0.0075 
2010,4,23,-0.0092 ,-0.0074 ,-0.0134 
2010,4,26,0.0026 ,0.0038 ,-0.0065 
2010,4,27,-0.0180 ,-0.0129 ,-0.0302 
2010,4,28,-0.0036 ,-0.0053 ,-0.0064 
2010,4,29,-0.0482 ,-0.0322 ,-0.0332 
2010,4,30,-0.0441 ,-0.0326 ,-0.0345 
2010,5,4,0.0073 ,0.0108 ,0.0006 
2010,5,5,0.0269 ,0.0351 ,0.0363 
2010,5,6,-0.0280 ,-0.0251 ,-0.0182 
2010,5,7,-0.0119 ,-0.0188 ,-0.0132 
2010,5,10,-0.0261 ,-0.0341 ,-0.0286 
2010,5,11,-0.0230 ,-0.0295 ,-0.0276 
2010,5,12,-0.0362 ,-0.0221 ,-0.0324 
2010,5,13,0.0293 ,0.0299 ,0.0302 
2010,5,14,0.0213 ,0.0095 ,0.0089 
2010,5,17,-0.0531 ,-0.0593 ,-0.0665 
2010,5,18,-0.0071 ,0.0047 ,0.0116 
2010,5,19,0.0055 ,0.0034 ,0.0114 
2010,5,20,-0.0212 ,-0.0249 ,-0.0223 
2010,5,21,0.0094 ,0.0198 ,0.0268 
2010,5,24,0.0507 ,0.0432 ,0.0484 
